year,1,2,3,4,5,top,average,total
2015,12457,32631,56832,92031,202366,350870,79263,396317
2014,11690,31123,54104,87935,194277,332729,75826,379129
2013,11797,31353,54683,87989,196742,340329,76513,382564
2013,11855,31044,53239,84983,188453,327995,73915,369574
2012,11861,30656,52833,84751,187783,328330,73577,367884
2011,11844,30777,52528,84395,187611,328223,73431,367155
2010,11952,31017,53450,85747,184146,312217,73262,366312
2009,12762,32320,54720,86933,188730,326314,75093,375465
2008,12832,32494,55188,87804,188309,324431,75325,376627
2007,13205,33656,57120,90435,192014,328300,77286,386430
2006,13344,33830,56688,89729,197693,349617,78257,391284
2005,12931,33202,56193,88385,193680,341228,76878,384391
2004,12854,32890,55725,87867,190020,331131,75871,379356
2003,12882,33090,56170,88911,189536,326342,76118,380589
2002,13161,33463,56389,88699,189374,330691,76217,381086
2001,13569,34094,57068,89478,195413,348688,77924,389622
2000,13979,34903,58125,90357,195803,347374,78633,393167
1999,14108,34643,57986,90248,192456,334507,77888,389441
1998,13403,33844,56629,87581,185333,323034,75358,376790
1997,13019,32549,54759,84814,180822,317322,73193,365963
1996,12934,31746,53398,82644,173820,302787,70908,354542
1995,12898,31524,52710,81028,169094,291832,69451,347254
1994,12209,30426,51257,79761,167682,289708,68267,341335
1993,11891,30144,50529,78525,163603,280796,66938,334692
1992,12014,30103,50716,77854,150853,239432,64308,321540
1991,12268,30814,51182,78022,149615,233485,64380,321901
1990,12608,31723,52399,79003,153315,244137,65810,329048
1989,12912,32126,53403,80778,157906,255122,67425,337125
1988,12450,31426,52560,79451,151681,239224,65514,327568
1987,12243,31115,52020,78631,149536,235594,64709,323545
1986,11918,30656,51300,77283,146279,229156,63487,317436
1985,11797,29896,49624,74645,139434,215085,61079,305396
1984,11815,29429,48769,73432,135021,203821,59693,298466
1983,11440,28738,47511,71296,130902,197778,57977,289887
1982,11299,28595,47332,70395,129111,195088,57346,286732
1981,11512,28676,47505,70813,126493,187967,57000,284999
1980,11808,29388,48494,71444,127381,190358,57703,288515
1979,12204,30355,50046,73442,131802,201012,59570,297849
1978,12291,30184,49839,73007,130345,198399,59133,295666
1977,11886,29255,48397,70910,126448,193443,57379,286896
1976,11944,29240,48086,69831,123589,188310,56538,282690
1975,11657,28633,46978,68260,120518,182892,55209,276046
1974,12067,29992,48338,69809,123684,187999,56778,283890
1973,12111,30451,49947,71851,128561,198024,58584,292921
1972,11572,29890,48780,70029,125723,194864,57199,285994
1971,10921,28865,46798,66533,117891,180823,54202,271008
1970,10854,29403,47348,66740,118155,181354,54500,272500
1969,11046,29823,47655,66750,117325,180588,54520,272599
1968,10784,28921,45868,63985,111183,169987,52148,260741
1967,9929,27513,43928,61461,110606,174471,50687,253437
